ANIO, NOMBRE HOMBRE, NOMBRE MUJER
2002, ALEJANDRO, MARIA
2002, PABLO, LUCIA
2002, DANIEL, PAULA
2002, DAVID, LAURA
2002, ADRIAN, MARTA
2002, JAVIER, ALBA
2002, ALVARO, ANDREA
2002, SERGIO, SARA
2002, CARLOS, ANA
2002, MARIO, NEREA
2002, JORGE, CLAUDIA
2002, RAUL, MARINA
2002, MANUEL, CRISTINA
2002, DIEGO, ELENA
2002, MIGUEL, IRENE
2002, IVAN, NATALIA
2002, ANTONIO, CARLA
2002, JUAN, CARMEN
2002, RUBEN, NURIA
2002, VICTOR, AINHOA
2002, ALBERTO, PATRICIA
2002, JESUS, JULIA
2002, MARC, ROCIO
2002, OSCAR, ANGELA
2002, ANGEL, SANDRA
2002, FRANCISCO, RAQUEL
2002, JOSE, SOFIA
2002, ALEX, ALICIA
2002, MARCOS, NOELIA
2002, JAIME, CLARA
2002, ISMAEL, ALEJANDRA
2002, LUIS, MIRIAM
2002, FRANCISCO JAVIER, EVA
2002, MIGUEL ANGEL, ISABEL
2002, PEDRO, SILVIA
2002, SAMUEL, CELIA
2002, CRISTIAN, LORENA
2002, JOSE ANTONIO, INES
2002, PAU, BEATRIZ
2002, IKER, MIREIA
2002, ANDRES, LAIA
2002, GUILLERMO, LIDIA
2002, RAFAEL, CARLOTA
2002, IGNACIO, BLANCA
2002, FERNANDO, ADRIANA
2002, JOSE MANUEL, ARIADNA
2002, NICOLAS, CAROLINA
2002, GONZALO, ANNA
2002, GABRIEL, MONICA
2002, HUGO, ANA MARIA
2002, JOEL, VERONICA
2002, JOAN, AITANA
2002, AARON, VICTORIA
2002, AITOR, ESTHER
2002, POL, JUDITH
2002, ENRIQUE, GISELA
2002, EDUARDO, LARA
2002, JOSE LUIS, SONIA
2002, RODRIGO, MAR
2002, ARNAU, DANIELA
2002, JORDI, AIDA
2002, JUAN JOSE, EMMA
2002, ROBERTO, AROA
2002, SANTIAGO, BELEN
2002, CHRISTIAN, HELENA
2002, JUAN MANUEL, AINA
2002, JOSE MARIA, LEIRE
2002, ERIC, TERESA
2002, LUCAS, AINARA
2002, GERARD, JUDIT
2002, HECTOR, PAOLA
2002, JUAN CARLOS, YAIZA
2002, SERGI, SHEILA
2002, MARTIN, MARIA DEL CARMEN
2002, JUAN ANTONIO, NOEMI
2002, UNAI, BERTA
2002, ADRIA, FATIMA
2002, KEVIN, NAIARA
2002, FRANCISCO JOSE, AINOA
2002, XAVIER, MARIA JOSE
2002, ASIER, GEMA
2002, ALBERT, PALOMA
2002, JOAQUIN, REBECA
2002, ORIOL, TANIA
2002, BORJA, ZAIRA
2002, MOHAMED, ANE
2002, MIKEL, ERIKA
2002, JONATHAN, MARTINA
2002, JON, SUSANA
2002, ALFONSO, ELISA
2002, GUILLEM, ALBA MARIA
2002, RICARDO, SALMA
2002, CESAR, CANDELA
2002, ISAAC, PILAR
2002, RAMON, VALERIA
2002, JOSE MIGUEL, NADIA
2002, ANDER, ESTELA
2002, MARCO, JENNIFER
2002, SALVADOR, IRATI
2002, MARTI, INMACULADA
2002, ROGER, GABRIELA
2002, IÑIGO, DIANA
2002, TOMAS, VIRGINIA
2002, ABEL, IRIA
2002, YERAY, LYDIA
2002, ALEIX, SARAY
2002, IZAN, JESSICA
2002, JOSEP, GEMMA
2002, MATEO, ALMUDENA
2002, MIQUEL, GLORIA
2002, XABIER, ALEXIA
2002, JULIO, AMANDA
2002, DARIO, ESTEFANIA
2002, SAUL, CARMEN MARIA
2002, ARTURO, MARIA DEL MAR
2002, JULEN, NORA
2002, VICENTE, ALEXANDRA
2002, JUAN FRANCISCO, DESIREE
2002, ABRAHAM, MARIONA
2002, LUIS MIGUEL, ROSA
2002, ENEKO, OLGA
2002, ERIK, MANUELA
2002, MOISES, YOLANDA
2002, FERRAN, NAYARA
2002, ELOY, LEYRE
2002, EMILIO, BARBARA
2002, JAUME, ELSA
2002, JULIAN, IRIS
2002, ISRAEL, ANA ISABEL
2002, SEBASTIAN, RUTH
2002, JOSE CARLOS, MERCEDES
2002, GORKA, ANA BELEN
2002, JAN, LOLA
2002, ANTONIO JESUS, ISABEL MARIA
2002, JOSE ANGEL, MIREYA
2002, CARLES, SORAYA
2002, ALONSO, LUNA
2002, BRAIS, MARIA ISABEL
2002, GERMAN, YASMINA
2002, OIER, JIMENA
2002, ALEXANDER, NOA
2002, BRUNO, VANESA
2002, EDGAR, EVA MARIA
2002, ANTONIO JOSE, ITZIAR
2002, AGUSTIN, CECILIA
2002, NIL, ANTIA
2002, MARKEL, NEUS
2002, BRIAN, AURORA
2002, NAIM, VANESSA
2002, OMAR, MAIDER
2003, DANIEL, MARIA
2003, PABLO, PAULA
2003, DAVID, LAURA
2003, JAVIER, MARTA
2003, ADRIAN, ANDREA
2003, ALVARO, ALBA
2003, SERGIO, SARA
2003, CARLOS, CLAUDIA
2003, HUGO, ANA
2003, MARIO, NEREA
2003, JORGE, CARLA
2003, DIEGO, ELENA
2003, IVAN, CRISTINA
2003, RAUL, AINHOA
2003, MANUEL, NATALIA
2003, MIGUEL, MARINA
2003, ANTONIO, IRENE
2003, RUBEN, CARMEN
2003, JUAN, NURIA
2003, VICTOR, JULIA
2003, MARCOS, ANGELA
2003, ALBERTO, SOFIA
2003, MARC, ROCIO
2003, JESUS, SANDRA
2003, ALEX, ALEJANDRA
2003, ANGEL, NOELIA
2003, OSCAR, PATRICIA
2003, FRANCISCO, RAQUEL
2003, IKER, CLARA
2003, JOSE, CELIA
2003, ISMAEL, ALICIA
2003, JAIME, INES
2003, SAMUEL, MIRIAM
2003, PAU, SILVIA
2003, LUIS, ISABEL
2003, MIGUEL ANGEL, EVA
2003, PEDRO, LORENA
2003, IGNACIO, LAIA
2003, RAFAEL, BEATRIZ
2003, FRANCISCO JAVIER, CARLOTA
2003, FERNANDO, CAROLINA
2003, NICOLAS, DANIELA
2003, GUILLERMO, LIDIA
2003, JOSE ANTONIO, BLANCA
2003, CRISTIAN, ARIADNA
2003, ANDRES, ADRIANA
2003, JOSE MANUEL, ANNA
2003, JOEL, MONICA
2003, GONZALO, AITANA
2003, GABRIEL, MIREIA
2003, LUCAS, JUDITH
2003, JOAN, AINARA
2003, ENRIQUE, ANA MARIA
2003, AITOR, LARA
2003, POL, VICTORIA
2003, AARON, MAR
2003, RODRIGO, NAIARA
2003, ARNAU, CANDELA
2003, SANTIAGO, ESTHER
2003, EDUARDO, AROA
2003, ROBERTO, PAOLA
2003, JORDI, AINA
2003, ERIC, TERESA
2003, JUAN JOSE, SONIA
2003, JOSE LUIS, EMMA
2003, UNAI, LEIRE
2003, HECTOR, VERONICA
2003, MARTIN, AIDA
